Match_ID,Column_ID,Term_ID,,
1,address.address,1,,
2,address.location,2,,
3,address.listing_id,37,,
4,interior.Appliances,24,,
5,interior.Bedrooms_Total,7,,
6,interior.Bathrooms_Total,8,,
7,interior.Living_Area,13,,
8,interior.Flooring,23,,
9,listing_detail_stats.listing_detail,9,,
10,listing_detail_stats.price,10,,
11,listing_detail_stats.bedrooms,7,,
12,listing_detail_stats.total_baths,8,,
13,listing_detail_stats.square_feet,11,,
14,listing_detail_stats.year_built,34,,
15,listing_detail_stats.status,6,,
16,listing_detail_stats.MLS,37,,
17,Area_And_Schools.City,2,,
18,Area_And_Schools.High_School,38,,
19,financial_info.Tax_Annual_Amount,15,,
20,financial_info.Association_Fee,14,,
21,Building_And_Construction.Property_Type,33,,
22,Building_And_Construction.Year_Built,34,,
23,listing_agent.listed_by,39,,